
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:80             0.0.0.0:0              LISTENING       26536
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1056
  TCP    0.0.0.0:443            0.0.0.0:0              LISTENING       26536
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:3006           0.0.0.0:0              LISTENING       31220
  TCP    0.0.0.0:3306           0.0.0.0:0              LISTENING       29780
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       7612
  TCP    0.0.0.0:5305           0.0.0.0:0              LISTENING       24332
  TCP    0.0.0.0:5357           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:5432           0.0.0.0:0              LISTENING       5340
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING       17776
  TCP    0.0.0.0:8006           0.0.0.0:0              LISTENING       33684
  TCP    0.0.0.0:9877           0.0.0.0:0              LISTENING       28388
  TCP    0.0.0.0:28252          0.0.0.0:0              LISTENING       2020
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       920
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       768
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       1380
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       2060
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       3312
  TCP    0.0.0.0:49670          0.0.0.0:0              LISTENING       912
  TCP    0.0.0.0:56104          0.0.0.0:0              LISTENING       16340
  TCP    10.0.2.34:139          0.0.0.0:0              LISTENING       4
  TCP    10.0.2.34:7680         10.0.1.225:62486       TIME_WAIT       0
  TCP    10.0.2.34:7680         10.0.1.225:62497       TIME_WAIT       0
  TCP    10.0.2.34:7680         10.0.1.225:62503       TIME_WAIT       0
  TCP    10.0.2.34:7680         10.0.2.123:64443       TIME_WAIT       0
  TCP    10.0.2.34:7680         10.0.2.123:64448       TIME_WAIT       0
  TCP    10.0.2.34:52654        103.247.205.20:19000   ESTABLISHED     25584
  TCP    10.0.2.34:53271        23.32.29.16:443        CLOSE_WAIT      11652
  TCP    10.0.2.34:53291        23.46.152.208:443      CLOSE_WAIT      11652
  TCP    10.0.2.34:53292        23.46.152.208:443      CLOSE_WAIT      11652
  TCP    10.0.2.34:53293        23.46.152.208:443      CLOSE_WAIT      11652
  TCP    10.0.2.34:53294        23.46.152.208:443      CLOSE_WAIT      11652
  TCP    10.0.2.34:53295        23.46.152.208:443      CLOSE_WAIT      11652
  TCP    10.0.2.34:57742        49.213.95.36:443       ESTABLISHED     31080
  TCP    10.0.2.34:57766        4.145.79.81:443        ESTABLISHED     3908
  TCP    10.0.2.34:57923        103.108.101.195:1443   CLOSE_WAIT      12784
  TCP    10.0.2.34:57957        192.168.1.5:1433       ESTABLISHED     16844
  TCP    10.0.2.34:57958        192.168.1.5:1433       ESTABLISHED     16844
  TCP    10.0.2.34:57959        192.168.1.5:1433       ESTABLISHED     16844
  TCP    10.0.2.34:57960        192.168.1.5:1433       ESTABLISHED     16844
  TCP    10.0.2.34:57961        192.168.1.5:1433       ESTABLISHED     16844
  TCP    10.0.2.34:57964        192.168.1.5:1433       ESTABLISHED     16844
  TCP    10.0.2.34:58011        103.108.101.246:17777  ESTABLISHED     9672
  TCP    10.0.2.34:61765        103.108.102.4:1443     ESTABLISHED     9672
  TCP    10.0.2.34:61809        64.233.170.188:5228    ESTABLISHED     26272
  TCP    10.0.2.34:62358        20.205.243.166:443     CLOSE_WAIT      17196
  TCP    10.0.2.34:62366        23.215.7.21:443        CLOSE_WAIT      29640
  TCP    10.0.2.34:62371        57.155.120.218:443     CLOSE_WAIT      29640
  TCP    10.0.2.34:62373        52.167.81.85:443       CLOSE_WAIT      29640
  TCP    10.0.2.34:63179        34.54.84.110:443       ESTABLISHED     18996
